last_name,first_name,player_id,year,strikeout,walk,k_percent,batting_avg,p_era,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,f_strike_percent,ff_avg_speed,fastball_avg_speed,fastball_avg_spin,breaking_avg_spin,offspeed_avg_spin
Anderson, Brett,,2020,32,10,15.8,0.270,4.21,89.1,4.4,6.4,48.1,77.666151299,6.78777513,19.5,66.3,90.2,89.2,2015,2469,1629
Kershaw, Clayton,,2020,62,8,28.1,0.194,2.16,87.8,7.9,8,34,76.446133784,5.625258243,27.6,69.7,91.6,91.6,2482,2634,2178
Minor, Mike,,2020,62,20,25.9,0.230,5.56,87.5,17.6,10.3,40.4,75.572587564,5.83100891,27,60.3,90.6,90.6,2585,2737,2263
Gibson, Kyle,,2020,58,30,19.3,0.275,5.35,88.2,6.2,7.2,39.6,76.836915825,5.881787171,23.3,65.1,92.4,92.2,2171,2462,1652
Cobb, Alex,,2020,38,18,16.8,0.252,4.30,91.3,3.8,9.5,48.2,80.598450476,7.660059042,23.5,63.3,92.9,92.5,2090,2579,1616
Darvish, Yu,,2020,93,14,31.3,0.211,2.01,88.7,11.9,6.4,34.2,78.651437283,5.49421,31.9,63.3,95.9,95.2,2569,2779,1638
Bumgarner, Madison,,2020,30,13,15.8,0.276,6.48,89.5,17.3,14.9,40.4,78.889719296,6.348475532,17.4,67.4,88.4,86.1,2441,2493,1684
Duffy, Danny,,2020,57,22,23.6,0.249,4.95,88.7,19.6,7.5,36,77.840288987,5.989484013,25.6,57,92.2,92.2,2159,2347,2158
Porcello, Rick,,2020,54,15,20.7,0.303,5.64,87.2,16.4,8.4,36.8,74.969895638,5.762452941,15.3,67,91.6,90.4,2176,2393,1682
Perez, Martin,,2020,46,28,17.6,0.240,4.50,86.3,14.3,7.6,29.2,75.493130333,4.55774838,22.1,64.9,92.2,90.4,2087,2521,1704
Anderson, Tyler,,2020,41,25,15.8,0.256,4.37,86.8,21.6,5.8,31.1,76.293347204,4.692784355,24.5,66.9,90.3,88.7,2333,2334,1988
Cole, Gerrit,,2020,94,17,32.6,0.197,2.84,90.4,16.4,9.1,44.6,79.873113372,6.802339591,34.2,63.5,96.7,96.7,2505,2672,1750
Eovaldi, Nathan,,2020,52,7,26.1,0.273,3.72,90.1,8.6,8.8,39.7,80.262470152,6.391919924,28.1,66.8,97.3,94.7,2199,2133,1486
Gray, Sonny,,2020,72,26,30.6,0.203,3.70,86.8,6.8,3.7,32.6,75.730744328,4.969396343,29.5,54.9,93,93,2466,2906,2216
Hendricks, Kyle,,2020,64,8,20.3,0.240,2.88,86.1,11,4.5,32,74.950220833,4.680787573,24.9,66.7,87.4,87.3,1903,2811,2062
Lyles, Jordan,,2020,36,23,13.5,0.285,7.02,89.6,14.5,7.8,42,79.626142277,6.068312723,16.8,59.8,92.3,92.2,2141,2459,1464
Roark, Tanner,,2020,41,23,18.6,0.309,6.80,89.2,18,13,42.9,78.045116316,6.365690395,26.6,52.3,90.7,90.6,2066,2443,1504
Bauer, Trevor,,2020,100,17,36,0.159,1.73,88.5,20.9,6.3,38,77.766438101,5.703112739,30.2,59,93.5,90.9,2819,2941,1731
Tanaka, Masahiro,,2020,44,8,22.3,0.257,3.56,88.5,12.9,9.1,37.1,77.732469143,5.627920643,29.7,63.5,92.3,92.1,2204,2293,1579
Ryu, Hyun Jin,,2020,72,17,26.2,0.234,2.69,87,9.6,3.2,29.2,76.646542667,4.768601899,26,58.2,89.8,87.9,2001,2542,1478
Stripling, Ross,,2020,40,18,18.2,0.281,5.84,91.2,12.3,10.6,39.1,82.255938333,6.656446,18.8,63.6,91.7,91.7,2276,2591,1699
Wheeler, Zack,,2020,53,16,18.4,0.254,2.92,85.7,3.8,3.8,34,73.20301619,5.138928469,22.6,58.3,96.9,96.8,2288,2485,1655
Boyd, Matthew,,2020,60,22,22.1,0.278,6.71,87.4,15.4,10.9,37,75.498472609,5.758217268,27.9,59.4,91.7,91.7,2302,2369,1882
